obsUnitId,collectionDate,NDVI,SPAD,plot_maxheight_cm,plot_maxwidth_cm
TTADDA_NARO_2023_F1P1,2023-06-06,,,3.25,19.0
TTADDA_NARO_2023_F1P1,2023-06-07,0.23,,,
TTADDA_NARO_2023_F1P1,2023-06-11,,,8.75,33.5
TTADDA_NARO_2023_F1P1,2023-06-12,0.44,50.45,,
TTADDA_NARO_2023_F1P1,2023-06-17,,,19.75,40.75
TTADDA_NARO_2023_F1P1,2023-06-19,0.42,,,
TTADDA_NARO_2023_F1P1,2023-06-20,,47.775,,
TTADDA_NARO_2023_F1P1,2023-06-24,,,29.75,62.5
TTADDA_NARO_2023_F1P1,2023-06-26,0.47,,,
TTADDA_NARO_2023_F1P1,2023-06-27,,54.7,,
TTADDA_NARO_2023_F1P1,2023-07-02,,,44.5,65.5
TTADDA_NARO_2023_F1P1,2023-07-04,0.825,51.525,,
TTADDA_NARO_2023_F1P1,2023-07-08,,,51.5,65.0
TTADDA_NARO_2023_F1P1,2023-07-09,0.88,,,
TTADDA_NARO_2023_F1P1,2023-07-11,,43.25,,
TTADDA_NARO_2023_F1P1,2023-07-16,,,52.25,70.0
TTADDA_NARO_2023_F1P1,2023-07-18,,36.425,,
TTADDA_NARO_2023_F1P1,2023-07-19,0.855,,,
TTADDA_NARO_2023_F1P1,2023-07-22,,,60.0,67.5
TTADDA_NARO_2023_F1P1,2023-07-24,0.815,34.275,,
TTADDA_NARO_2023_F1P1,2023-07-29,,,67.5,70.0
TTADDA_NARO_2023_F1P1,2023-08-01,0.685,25.675,,
TTADDA_NARO_2023_F1P1,2023-08-05,,,60.0,72.5
TTADDA_NARO_2023_F1P1,2023-08-06,0.625,,,
TTADDA_NARO_2023_F1P1,2023-08-09,,19.925,,
TTADDA_NARO_2023_F1P1,2023-08-12,0.565,,60.0,67.5
TTADDA_NARO_2023_F1P1,2023-08-15,,10.275,,
TTADDA_NARO_2023_F1P1,2023-08-19,0.505,,40.0,55.0
TTADDA_NARO_2023_F1P1,2023-08-22,,6.685,,
TTADDA_NARO_2023_F1P1,2023-08-27,,,0.0,0.0
TTADDA_NARO_2023_F1P1,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P1,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P1,2023-09-11,,,,
TTADDA_NARO_2023_F1P2,2023-06-06,,,3.25,20.75
TTADDA_NARO_2023_F1P2,2023-06-07,0.225,,,
TTADDA_NARO_2023_F1P2,2023-06-11,,,6.25,33.0
TTADDA_NARO_2023_F1P2,2023-06-12,0.49,52.975,,
TTADDA_NARO_2023_F1P2,2023-06-17,,,14.75,40.0
TTADDA_NARO_2023_F1P2,2023-06-19,0.39,,,
TTADDA_NARO_2023_F1P2,2023-06-20,,50.675,,
TTADDA_NARO_2023_F1P2,2023-06-24,,,26.5,56.5
TTADDA_NARO_2023_F1P2,2023-06-26,0.465,,,
TTADDA_NARO_2023_F1P2,2023-06-27,,55.675,,
TTADDA_NARO_2023_F1P2,2023-07-02,,,36.5,67.5
TTADDA_NARO_2023_F1P2,2023-07-04,0.8,49.6,,
TTADDA_NARO_2023_F1P2,2023-07-08,,,47.75,63.75
TTADDA_NARO_2023_F1P2,2023-07-09,0.845,,,
TTADDA_NARO_2023_F1P2,2023-07-11,,43.225,,
TTADDA_NARO_2023_F1P2,2023-07-16,,,52.5,68.75
TTADDA_NARO_2023_F1P2,2023-07-18,,38.375,,
TTADDA_NARO_2023_F1P2,2023-07-19,0.86,,,
TTADDA_NARO_2023_F1P2,2023-07-22,,,60.0,67.5
TTADDA_NARO_2023_F1P2,2023-07-24,0.795,33.75,,
TTADDA_NARO_2023_F1P2,2023-07-29,,,65.0,70.0
TTADDA_NARO_2023_F1P2,2023-08-01,0.695,20.075,,
TTADDA_NARO_2023_F1P2,2023-08-05,,,57.5,70.0
TTADDA_NARO_2023_F1P2,2023-08-06,0.695,,,
TTADDA_NARO_2023_F1P2,2023-08-09,,16.595,,
TTADDA_NARO_2023_F1P2,2023-08-12,0.575,,62.5,70.0
TTADDA_NARO_2023_F1P2,2023-08-15,,12.675,,
TTADDA_NARO_2023_F1P2,2023-08-19,0.42,,25.0,12.5
TTADDA_NARO_2023_F1P2,2023-08-22,,4.475,,
TTADDA_NARO_2023_F1P2,2023-08-27,,,0.0,0.0
TTADDA_NARO_2023_F1P2,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P2,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P2,2023-09-11,,,,
TTADDA_NARO_2023_F1P3,2023-06-06,,,2.25,18.0
TTADDA_NARO_2023_F1P3,2023-06-07,0.195,,,
TTADDA_NARO_2023_F1P3,2023-06-11,,,5.25,24.75
TTADDA_NARO_2023_F1P3,2023-06-12,0.33,54.15,,
TTADDA_NARO_2023_F1P3,2023-06-17,,,19.25,38.5
TTADDA_NARO_2023_F1P3,2023-06-19,0.44,,,
TTADDA_NARO_2023_F1P3,2023-06-20,,47.125,,
TTADDA_NARO_2023_F1P3,2023-06-24,,,24.0,51.25
TTADDA_NARO_2023_F1P3,2023-06-26,0.47,,,
TTADDA_NARO_2023_F1P3,2023-06-27,,52.375,,
TTADDA_NARO_2023_F1P3,2023-07-02,,,41.0,65.0
TTADDA_NARO_2023_F1P3,2023-07-04,0.84,45.525,,
TTADDA_NARO_2023_F1P3,2023-07-08,,,51.25,67.5
TTADDA_NARO_2023_F1P3,2023-07-09,0.845,,,
TTADDA_NARO_2023_F1P3,2023-07-11,,37.95,,
TTADDA_NARO_2023_F1P3,2023-07-16,,,52.0,71.25
TTADDA_NARO_2023_F1P3,2023-07-18,,34.25,,
TTADDA_NARO_2023_F1P3,2023-07-19,0.865,,,
TTADDA_NARO_2023_F1P3,2023-07-22,,,52.5,72.5
TTADDA_NARO_2023_F1P3,2023-07-24,0.855,35.325,,
TTADDA_NARO_2023_F1P3,2023-07-29,,,60.0,65.0
TTADDA_NARO_2023_F1P3,2023-08-01,0.835,29.65,,
TTADDA_NARO_2023_F1P3,2023-08-05,,,60.0,72.5
TTADDA_NARO_2023_F1P3,2023-08-06,0.77,,,
TTADDA_NARO_2023_F1P3,2023-08-09,,21.175,,
TTADDA_NARO_2023_F1P3,2023-08-12,0.715,,55.0,67.5
TTADDA_NARO_2023_F1P3,2023-08-15,,21.375,,
TTADDA_NARO_2023_F1P3,2023-08-19,0.68,,60.0,67.5
TTADDA_NARO_2023_F1P3,2023-08-22,,16.475,,
TTADDA_NARO_2023_F1P3,2023-08-27,0.435,,55.0,57.5
TTADDA_NARO_2023_F1P3,2023-08-29,,13.625,,
TTADDA_NARO_2023_F1P3,2023-09-04,0.3,,30.0,2.5
TTADDA_NARO_2023_F1P3,2023-09-11,,,,
TTADDA_NARO_2023_F1P4,2023-06-06,,,2.75,20.0
TTADDA_NARO_2023_F1P4,2023-06-07,0.18,,,
TTADDA_NARO_2023_F1P4,2023-06-11,,,4.5,25.5
