obsUnitId,sprouting,flower_budding,flowering,yellowing,senescence
TTADDA_NARO_2023_F1P1,2023-06-03,2023-06-27,2023-07-06,2023-08-18,2023-08-25
TTADDA_NARO_2023_F1P2,2023-06-03,2023-06-27,2023-07-05,2023-08-17,2023-08-22
TTADDA_NARO_2023_F1P3,2023-06-04,,,2023-09-02,2023-09-10
TTADDA_NARO_2023_F1P4,2023-06-04,2023-06-23,2023-07-01,2023-08-17,2023-08-26
TTADDA_NARO_2023_F1P5,2023-06-06,2023-06-25,2023-07-03,2023-08-29,2023-09-07
TTADDA_NARO_2023_F1P10,2023-06-03,2023-06-22,2023-06-28,2023-08-18,2023-08-25
TTADDA_NARO_2023_F1P9,2023-06-04,2023-06-20,2023-06-28,2023-08-18,2023-08-26
TTADDA_NARO_2023_F1P8,2023-06-05,2023-06-20,2023-06-29,2023-08-19,2023-08-26
TTADDA_NARO_2023_F1P7,2023-06-02,2023-06-20,2023-06-28,2023-08-20,2023-08-29
TTADDA_NARO_2023_F1P6,2023-06-05,2023-06-21,2023-06-29,2023-08-20,2023-08-24
TTADDA_NARO_2023_F1P11,2023-06-03,2023-06-24,2023-07-07,2023-08-16,2023-08-21
TTADDA_NARO_2023_F1P12,2023-06-03,2023-06-26,2023-07-04,2023-08-24,2023-08-30
TTADDA_NARO_2023_F1P13,2023-06-06,2023-06-23,2023-07-01,2023-08-23,2023-08-27
TTADDA_NARO_2023_F1P14,2023-06-05,2023-06-23,2023-06-30,2023-08-22,2023-08-27
TTADDA_NARO_2023_F1P15,2023-06-07,2023-06-25,2023-07-03,2023-08-25,2023-09-06
TTADDA_NARO_2023_F1P20,2023-06-06,2023-06-25,2023-07-02,2023-08-26,2023-09-04
TTADDA_NARO_2023_F1P19,2023-06-05,2023-06-22,2023-06-28,2023-08-20,2023-08-25
TTADDA_NARO_2023_F1P18,2023-06-06,,,2023-08-30,2023-09-09
TTADDA_NARO_2023_F1P17,2023-06-04,2023-06-22,2023-06-29,2023-08-20,2023-08-27
TTADDA_NARO_2023_F1P16,2023-06-03,2023-06-26,2023-07-04,2023-08-20,2023-08-25
TTADDA_NARO_2023_F1P21,2023-06-04,2023-06-23,2023-07-01,2023-08-17,2023-08-22
TTADDA_NARO_2023_F1P22,2023-06-04,,,2023-08-28,2023-09-07
TTADDA_NARO_2023_F1P23,2023-06-03,2023-06-23,2023-06-30,2023-08-19,2023-08-27
TTADDA_NARO_2023_F1P24,2023-06-04,2023-06-28,,2023-08-17,2023-08-24
TTADDA_NARO_2023_F1P25,2023-06-03,2023-06-28,2023-07-04,2023-08-17,2023-08-23
TTADDA_NARO_2023_F1P30,2023-06-04,2023-06-23,2023-07-02,2023-08-27,2023-09-05
TTADDA_NARO_2023_F1P29,2023-06-05,2023-06-26,2023-07-04,2023-08-16,2023-08-22
TTADDA_NARO_2023_F1P28,2023-06-03,2023-06-22,2023-06-28,2023-08-19,2023-08-24
TTADDA_NARO_2023_F1P27,2023-06-01,2023-06-22,2023-07-01,2023-08-21,2023-08-26
TTADDA_NARO_2023_F1P26,2023-06-03,2023-06-21,2023-06-30,2023-08-16,2023-08-22
TTADDA_NARO_2023_F1P31,2023-06-02,2023-06-25,2023-07-02,2023-08-20,2023-08-26
TTADDA_NARO_2023_F1P32,2023-06-04,2023-06-22,2023-06-30,2023-08-21,2023-08-27
TTADDA_NARO_2023_F1P33,2023-06-04,2023-06-26,2023-07-04,2023-08-17,2023-08-23
TTADDA_NARO_2023_F1P34,2023-06-05,2023-06-23,2023-07-04,2023-08-21,2023-08-26
TTADDA_NARO_2023_F1P35,2023-06-01,2023-06-23,2023-07-03,2023-08-21,2023-08-27
