collectionDate,air_temp_avg,air_temp_max,air_temp_min,air_rh_avg,precipitation_mm,rad_MJm2,soil_temp_depth5cm,soil_temp_depth10cm,soil_temp_depth30cm,soil_temp_depth50cm,soil_watercontent_depth5cm,soil_watercontent_depth10cm,soil_watercontent_depth30cm,soil_watercontent_depth50cm,obsUnitId
2023-01-01,-7.49,0.31,-18.17,67.5,0.0,6.05,-0.1,0.4,2.4,4.1,13.3,23.5,36.5,40.1,TTADDA_NARO_2023_F1
2023-01-02,-8.08,-5.62,-13.65,50.0,0.0,6.92,-0.1,0.4,2.4,4.1,12.8,23.3,36.4,40.1,TTADDA_NARO_2023_F1
2023-01-03,-11.43,-6.7,-17.34,75.6,0.0,5.94,-0.1,0.4,2.4,4.1,12.2,23.2,36.3,40.1,TTADDA_NARO_2023_F1
2023-01-04,-13.74,-5.38,-20.18,74.6,0.0,8.87,-0.2,0.4,2.3,4.0,11.3,23.0,36.1,40.1,TTADDA_NARO_2023_F1
2023-01-05,-9.81,-3.04,-20.84,68.0,0.0,7.42,-0.2,0.4,2.3,4.0,10.4,22.7,35.9,40.0,TTADDA_NARO_2023_F1
2023-01-06,-6.08,-0.4,-16.66,62.6,0.0,8.46,-0.2,0.3,2.3,3.9,10.1,22.4,35.6,39.9,TTADDA_NARO_2023_F1
2023-01-07,-11.64,-2.36,-18.57,77.6,0.0,8.74,-0.2,0.3,2.2,3.9,10.1,22.4,35.4,39.8,TTADDA_NARO_2023_F1
2023-01-08,-11.76,-4.12,-19.59,80.4,0.0,8.51,-0.2,0.3,2.2,3.9,10.0,22.2,35.2,39.7,TTADDA_NARO_2023_F1
2023-01-09,-9.55,-3.62,-18.51,85.2,0.0,6.62,-0.3,0.2,2.2,3.8,9.9,22.1,35.0,39.6,TTADDA_NARO_2023_F1
2023-01-10,-7.52,-3.12,-15.99,66.0,0.0,9.19,-0.2,0.2,2.1,3.8,9.9,22.0,34.8,39.5,TTADDA_NARO_2023_F1
2023-01-11,-10.36,-3.49,-16.18,70.9,0.0,8.98,-0.3,0.2,2.1,3.7,9.9,21.9,34.6,39.4,TTADDA_NARO_2023_F1
2023-01-12,-8.27,3.39,-13.96,78.5,0.0,8.87,-0.3,0.2,2.1,3.7,9.8,21.8,34.5,39.3,TTADDA_NARO_2023_F1
2023-01-13,-8.06,-1.4,-16.71,83.8,0.0,7.28,-0.3,0.2,2.1,3.7,9.8,21.7,34.3,39.3,TTADDA_NARO_2023_F1
2023-01-14,-1.21,4.65,-6.7,83.6,0.5,2.46,-0.2,0.2,2.0,3.6,9.8,21.7,34.2,39.2,TTADDA_NARO_2023_F1
2023-01-15,-8.99,-6.61,-14.01,80.2,0.0,6.02,-0.2,0.2,2.0,3.6,10.1,21.8,34.1,39.1,TTADDA_NARO_2023_F1
