Fecha,PlotID,obsUnitId,obs_unit_id_num,Yield_kgm2,Etiqueta_Rendimiento,SPAD_Punto,Etiqueta_SPAD,NDVI_Punto,Mean_Red_Reflectance_Dron,Mean_NIR_Reflectance_Dron,NDVI_Dron,Etiqueta_NDVI_Dron,Etiqueta_FINAL
2023-05-18,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,2.70483523289982e-07,2.878446960936924e-07,0.031094922665515626,Plaga,Plaga
2023-05-23,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,2.0163240864221645e-07,2.2639230575672552e-07,0.057846886596906934,Plaga,Plaga
2023-05-29,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,2.9911546569698546e-07,3.20921448214707e-07,0.03516884564203098,Plaga,Plaga
2023-06-05,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,9.277668613329463e-08,1.18488313670688e-07,0.12170320479610587,Plaga,Plaga
2023-06-12,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,50.45,Sana,0.44,8.833595250650408e-08,1.944519049679143e-07,0.3752493243844804,Indeterminado,Plaga
2023-06-19,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,0.42,1.608129745879825e-07,4.20756647590481e-07,0.44696913849934694,Indeterminado,Plaga
2023-06-26,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,0.47,1.3843470801353387e-07,4.7506425027977353e-07,0.5487043420623066,Sana,Plaga
2023-06-30,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,5.560527104636558e-08,5.269491161439084e-07,0.8090984386383008,Sana,Plaga
2023-07-07,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,4.9375240275596166e-08,6.475013517378249e-07,0.8582955982695851,Sana,Plaga
2023-07-10,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,0.88,4.7265714751421485e-08,6.329556069656994e-07,0.8610284234192896,Sana,Plaga
2023-07-18,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,36.425,Indeterminado,,5.034253955077116e-08,6.554422129974835e-07,0.8573430798299112,Sana,Plaga
2023-07-24,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,34.275,Indeterminado,0.815,5.8151518267272024e-08,5.82252497441855e-07,0.8183911504587298,Sana,Plaga
2023-07-31,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,25.675,Plaga,0.685,8.258812468412827e-08,5.424723292120114e-07,0.7357435615408453,Sana,Plaga
2023-08-09,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,19.925,Plaga,,9.702650881603936e-08,4.656589221347923e-07,0.6551305454911709,Sana,Plaga
2023-08-14,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,10.275,Plaga,,1.1025069876818856e-07,4.0274384429623695e-07,0.5701681421030536,Sana,Plaga
2023-08-21,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,6.685,Plaga,,8.380536479747829e-08,1.8613113084728453e-07,0.37907347728358753,Indeterminado,Plaga
2023-08-29,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,0.0,Indeterminado_SPAD,,1.1685143252239855e-07,1.8548640025129905e-07,0.2270141553216542,Plaga,Plaga
2023-09-04,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,1.364342845951119e-07,2.1260208902459158e-07,0.21822311422610982,Plaga,Plaga
2023-09-11,TTADDA_NARO_2023_F1P1,TTADDA_NARO_2023_F1P1,1,3.03444444444444,Plaga,,Indeterminado_SPAD,,7.676885126387364e-08,1.298805064853534e-07,0.2570134057030643,Plaga,Plaga
2023-05-18,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,2.879992197596671e-07,3.019282544613633e-07,0.023611435829614096,Plaga,Plaga
2023-05-23,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,2.5090093425291594e-07,2.6863691971245974e-07,0.03413800423621452,Plaga,Plaga
2023-05-29,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,2.9720112757526454e-07,3.150333460663991e-07,0.029126452787060213,Plaga,Plaga
2023-06-05,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,1.0174768494139506e-07,1.2767451495593192e-07,0.11300924682153625,Plaga,Plaga
2023-06-12,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,55.65,Sana,0.405,8.426378332580091e-08,2.1393314310204974e-07,0.43484472267899976,Indeterminado,Sana
2023-06-19,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,0.54,1.406132221840938e-07,4.730206733454558e-07,0.5417032103066981,Sana,Sana
2023-06-26,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,0.515,1.4015974503256265e-07,5.255467566661592e-07,0.5789142972919481,Sana,Sana
2023-06-30,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,5.9339661588488186e-08,5.562397373850482e-07,0.8072071232811376,Sana,Sana
2023-07-07,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,6.262971140309698e-08,6.984272904533677e-07,0.8354138750439906,Sana,Sana
2023-07-10,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,0.8,6.181123211482032e-08,6.536988473684454e-07,0.8272247061579906,Sana,Sana
2023-07-18,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,41.425,Indeterminado,,5.5002789488381617e-08,7.331646445996133e-07,0.8604286675406059,Sana,Sana
2023-07-24,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,38.025,Indeterminado,0.87,5.826604137942154e-08,7.025825497045253e-07,0.8468393263463563,Sana,Sana
2023-07-31,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,26.375,Plaga,0.755,7.6480675810498e-08,6.182688930594991e-07,0.7798323907278042,Sana,Plaga
2023-08-09,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,22.9,Plaga,,8.168523776613391e-08,4.2433026152173787e-07,0.6771433369883271,Sana,Plaga
2023-08-14,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,24.2,Plaga,,8.717897776336279e-08,3.3850312333805976e-07,0.5904033665601945,Sana,Plaga
2023-08-21,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,9.125,Plaga,,8.422968674358671e-08,1.7277643033306464e-07,0.34453165783236633,Indeterminado,Plaga
2023-08-29,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,0.0,Indeterminado_SPAD,,1.2874005569551984e-07,1.9002614310939105e-07,0.19226030753461132,Plaga,Plaga
2023-09-04,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,1.5392667839279188e-07,2.181005191482367e-07,0.17249771301563907,Plaga,Plaga
2023-09-11,TTADDA_NARO_2023_F1P10,TTADDA_NARO_2023_F1P10,10,5.01444444444444,Sana,,Indeterminado_SPAD,,8.422319289159358e-08,1.2603282525392277e-07,0.198851061344618,Plaga,Plaga
2023-05-18,TTADDA_NARO_2023_F1P11,TTADDA_NARO_2023_F1P11,11,2.64888888888889,Plaga,,Indeterminado_SPAD,,2.764820246535191e-07,2.9182835194711597e-07,0.02700342616545447,Plaga,Plaga
2023-05-23,TTADDA_NARO_2023_F1P11,TTADDA_NARO_2023_F1P11,11,2.64888888888889,Plaga,,Indeterminado_SPAD,,2.3327250991931693e-07,2.551723122036341e-07,0.04483577528600465,Plaga,Plaga
2023-05-29,TTADDA_NARO_2023_F1P11,TTADDA_NARO_2023_F1P11,11,2.64888888888889,Plaga,,Indeterminado_SPAD,,3.0659185531191284e-07,3.249413863102362e-07,0.029055526754523563,Plaga,Plaga
2023-06-05,TTADDA_NARO_2023_F1P11,TTADDA_NARO_2023_F1P11,11,2.64888888888889,Plaga,,Indeterminado_SPAD,,8.514273203884778e-08,1.0661089975344426e-07,0.11195703316769949,Plaga,Plaga
2023-06-12,TTADDA_NARO_2023_F1P11,TTADDA_NARO_2023_F1P11,11,2.64888888888889,Plaga,52.1,Sana,0.42,9.141147414439636e-08,1.9797704231170132e-07,0.3682439423385748,Indeterminado,Plaga
